"id_village_grp","c9_member","c10_hh","c15_clasify","final_heterocast:Scheduled Caste/Scheduled Tribe","final_heterocast:Other Backward Class","final_heterocast:Minority","final_heterocast:General","final_heterocast:Dont have a caste group","final_heterocast:Other","final_heterocast:Dont know","final_heterorelig:Hinduism","final_heterorelig:Islam","final_heterorelig:Christianity","final_heterorelig:Buddhism","final_heterorelig:Sikhism","final_heterorelig:Jainism","final_heterorelig:Other","final_heterorelig:Don’t know","a1_5_literate","final_hetero_bisSingle","final_hetero_bisMarried, living with spouse,","final_hetero_bisMarried, not living with spouse","final_hetero_bisSeparated/Divorce,","final_hetero_bisWidow/Widower","final_hetero_bisDon’t know","final_hetero_bisNA","educ_0","educ_1","educ_2","educ_3","educ_4","educ_other","d1_ab3_vacc_num","d1_ab1_tot_inj","d3_ab3_vacc_num","d3_ab1_tot_inj","d5_ab1_poliodrops","d5_ab3_num_drops","d7_ab1_receive_card","more_than_5_vacc","measles_by_age_15_months","measles_ever"
"2_08_02_V02Y_0",0,0.294117647058824,3.52941176470588,0.176470588235294,0,0,0.588235294117647,0,0,0.235294117647059,1,0,0,0,0,0,0,0,0.85,0.0340909090909091,0.431818181818182,0.0113636363636364,0,0.0795454545454545,0,0.443181818181818,0.102272727272727,0.125,0.125,0.227272727272727,0.102272727272727,0.318181818181818,2.64285714285714,6.25,4.58823529411765,5.64705882352941,1,3,0.941176470588235,0.470588235294118,0.0666666666666667,0.3125
"2_08_03_V01Y_0",0.0555555555555556,0.166666666666667,3.42105263157895,0.368421052631579,0,0,0.631578947368421,0,0,0,1,0,0,0,0,0,0,0,0.802469135802469,0.0272727272727273,0.527272727272727,0,0,0.0545454545454545,0,0.390909090909091,0.145454545454545,0.0909090909090909,0.145454545454545,0.254545454545455,0.1,0.263636363636364,2.4375,6.25,4.8125,8.25,1,2.9375,0.875,0.5625,0.133333333333333,0.333333333333333
"2_08_04_V01Y_0",0.166666666666667,0.277777777777778,3.66666666666667,0.666666666666667,0,0,0.277777777777778,0,0,0.0555555555555556,1,0,0,0,0,0,0,0,0.838709677419355,0.0574712643678161,0.574712643678161,0,0,0.0459770114942529,0,0.32183908045977,0.114942528735632,0.0574712643678161,0.172413793103448,0.310344827586207,0.0574712643678161,0.28735632183908,2.11111111111111,4,4.5,7.22222222222222,1,3,0.944444444444444,0.5,0.235294117647059,0.529411764705882
"2_08_05_V01Y_0",0.125,0,2.875,0.125,0.125,0,0.375,0,0,0.375,0.9375,0,0,0,0,0,0,0.0625,0.849315068493151,0.102040816326531,0.540816326530612,0.0102040816326531,0,0.0204081632653061,0,0.326530612244898,0.112244897959184,0.0714285714285714,0.0816326530612245,0.326530612244898,0.142857142857143,0.255102040816327,2.375,2.375,4.625,7.625,1,3,1,0.4375,0.125,0.375
"2_09_01_V01Y_0",0.411764705882353,0.529411764705882,2.11764705882353,0.352941176470588,0.0588235294117647,0.0588235294117647,0.411764705882353,0,0,0.117647058823529,0.941176470588235,0,0,0,0,0,0,0.0588235294117647,0.75,0.0625,0.5,0,0,0.0416666666666667,0,0.395833333333333,0.177083333333333,0.0520833333333333,0.166666666666667,0.28125,0.03125,0.291666666666667,2.28571428571429,3.57142857142857,4,6.17647058823529,1,3,1,0.235294117647059,0.117647058823529,0.235294117647059
"2_09_01_V02Y_0",0,0.294117647058824,3.64705882352941,0.352941176470588,0.0588235294117647,0.0588235294117647,0.529411764705882,0,0,0,1,0,0,0,0,0,0,0,0.846153846153846,0.0283018867924528,0.490566037735849,0,0,0.0471698113207547,0,0.433962264150943,0.113207547169811,0.0943396226415094,0.179245283018868,0.283018867924528,0.0660377358490566,0.264150943396226,2.3125,2.35294117647059,4.76470588235294,5.82352941176471,1,3,1,0.294117647058824,0.1875,0.294117647058824
"2_09_02_V02Y_0",0,0,2.47368421052632,0.210526315789474,0.105263157894737,0,0.684210526315789,0,0,0,1,0,0,0,0,0,0,0,0.784810126582278,0.106796116504854,0.504854368932039,0,0,0.0388349514563107,0,0.349514563106796,0.16504854368932,0.0776699029126214,0.242718446601942,0.242718446601942,0.0388349514563107,0.233009708737864,2.72222222222222,4.88888888888889,3.88888888888889,4.66666666666667,1,3,1,0.333333333333333,0.0588235294117647,0.222222222222222
"2_09_03_V02Y_0",0,0.117647058823529,4.29411764705882,0.294117647058824,0.117647058823529,0,0.588235294117647,0,0,0,1,0,0,0,0,0,0,0,0.813953488372093,0.0803571428571429,0.607142857142857,0,0,0.0357142857142857,0,0.276785714285714,0.142857142857143,0.0535714285714286,0.107142857142857,0.294642857142857,0.169642857142857,0.232142857142857,2.5625,3.8125,4.9375,7.9375,1,3,0.875,0.625,0.3125,0.5625
"2_09_03_V03Y_0",0.125,0.0625,3,0.125,0.0625,0,0.1875,0,0,0.625,0.875,0,0,0,0,0,0,0.125,0.777777777777778,0.03,0.53,0,0,0.04,0,0.4,0.16,0.06,0.21,0.24,0.05,0.28,2.14285714285714,3.21428571428571,4.33333333333333,7.4,1,3,0.933333333333333,0.4,0.133333333333333,0.333333333333333
"2_09_03_V04Y_0",0.0555555555555556,0.111111111111111,3,0.166666666666667,0.666666666666667,0,0,0,0,0.166666666666667,1,0,0,0,0,0,0,0,0.818181818181818,0.036697247706422,0.55045871559633,0.00917431192660551,0,0.036697247706422,0,0.36697247706422,0.155963302752294,0.0275229357798165,0.18348623853211,0.275229357798165,0.0642201834862385,0.293577981651376,2.42857142857143,7.14285714285714,5.875,12.5625,1,3,0.9375,0.8125,0.5,0.625
