"id_key_new","cs4"
"5000026742",4
"5000026743",4
"5000026756",4
"5000026757",4
"5000026783",1
"5000026798",4
"5000026799",4
"5000026886",1
"5000027063",1
"500002708",4
"5000027092",1
"50000271",4
"5000027359",4
"5000027364",2
"5000027369",1
"5000027374",3
"5000027379",4
"500002739",1
"5000027394",1
"5000027395",2
"5000027396",4
"5000027443",1
"5000027449",4
"5000027454",3
"5000027467",4
"5000027469",4
"5000027475",3
"5000027477",1
"5000027482",4
"5000027483",4
"500002749",2
"5000027560",2
"5000027572",2
"5000027594",1
"5000027598",4
"50000276112",1
"50000276150",4
"5000027657",1
"500002779",1
"500002781",4
"5000027828",4
"5000027875",1
"5000027876",1
"5000027878",4
"500002789",1
"5000027926",1
"5000027971",4
"5000027981",3
"5000027985",4
"5000027986",4
"5000027987",1
"5000027988",4
"50000280102",2
"50000280105",4
"5000028020",2
"5000028037",1
"5000028064",2
"5000028065",2
"5000028071",4
"5000028073",1
"5000028079",1
"5000028097",2
"5000028099",4
"5000028237",4
"5000028244",1
"5000028253",4
"5000028261",1
"5000028266",2
"5000028273",3
"5000028285",1
"5000028291",4
"5000028295",4
"5000028296",4
"5000028351",1
"500002836",1
"5000028394",2
"5000028399",4
"5000028514",4
"5000028552",2
"5000028562",2
"5000028564",1
"5000028574",1
"5000028575",1
"5000028638",1
"5000028648",4
"5000028649",1
"5000028662",4
"5000028681",4
"5000028733",1
"5000028747",4
"500002875",4
"5000028750",2
"5000028754",4
"5000028758",1
"5000028771",4
"5000028772",4
"5000028773",4
"500002883",1
"5000028830",4
"5000028834",4
"5000028847",4
"5000028850",4
"5000028856",4
"5000028858",1
"5000028859",4
"5000028862",4
"5000028864",1
"5000028865",4
"500002888",1
"5000029062",4
"50000291100",4
"50000291107",1
"5000029178",1
"5000029193",4
"5000029246",1
"5000029248",4
"5000029267",4
"5000029270",4
"5000029281",1
"5000029292",4
"5000029294",4
"5000029354",1
"5000029357",4
"5000029374",4
"5000029380",4
"5000029382",4
"5000029386",1
"5000029524",1
"5000029579",4
"5000029588",4
"5000029592",2
"50000296107",4
"5000029649",2
"50000296490020",4
"5000029670",2
"5000029687",4
"5000029688",4
"5000029689",4
"50003810023",2
"5000381006",2
"50003810114",2
"50003810118",1
"50003810139",1
"50003810148",4
"5000381017",4
"50003810246",4
"50003810247",NA
"50003810249",4
"50003810346",NA
"50003810348",4
"50003810355",4
"50003810465",4
"50003810477",4
"50003810478",1
"50003810479",1
"50003810517",4
"50003810531",2
"50003810554",4
"50003810559",4
"50003810564",1
"50003810567",2
"50003810572",4
"50003810573",2
"50003810621",2
"50003810636",4
"50003810638",4
"50003810817",1
"50003810853",1
"50003810863",4
"50003810864",4
"50003810866",4
"50003810867",4
"50003810868",4
"50003810869",1
"50003810870",4
"50003811043",1
"50003811053",NA
"50003811127",2
"50003811148",2
"50003811158",1
"50003811169",1
"50003811219",2
"5000381122",4
"50003811220",2
"50003811232",1
"50003811235",1
"50003811236",4
"50003811237",1
"50003811238",2
"50003811239",1
"50003811240",4
"50003811246",4
"5000381126",1
"50003811348",4
"500038114106",4
"5000381146",4
"5000381148",4
"5000381160",4
"5000381164",4
"50003811646",4
"50003811654",2
"50003811655",1
"50003811658",1
"500038117",4
"5000381175",4
"50003812016",4
"50003812023",1
"50003812032",NA
"50003812036",2
"5000381209",2
"50003812140",4
"50003812165",1
"50003812166",4
"50003812213",2
"50003812221",4
"50003812255",4
